state,year,sector,carbon_type,emission_(metric_tons)
Gujarat,2018,Industry,CH4,1.7
Gujarat,2018,Transportation,CO,3.12
Gujarat,2018,Transportation,CO2,28.9
Gujarat,2018,Transportation,CH4,1.4
Gujarat,2018,Agriculture,CO,0.7
Gujarat,2018,Agriculture,CO2,10.17
Gujarat,2018,Agriculture,CH4,11.99
Gujarat,2018,Waste Management,CO,0.27
Gujarat,2018,Waste Management,CO2,2.98
Gujarat,2018,Waste Management,CH4,4.29
Gujarat,2019,Energy,CO,2.58
Gujarat,2019,Energy,CO2,59.94
Gujarat,2019,Energy,CH4,2.78
Gujarat,2019,Industry,CO,2.26
Gujarat,2019,Industry,CO2,51.73
Gujarat,2019,Industry,CH4,1.4
Gujarat,2019,Transportation,CO,4.04
Gujarat,2019,Transportation,CO2,41.71
Gujarat,2019,Transportation,CH4,1.32
Gujarat,2019,Agriculture,CO,0.44
Gujarat,2019,Agriculture,CO2,12.66
Gujarat,2019,Agriculture,CH4,11.7
Gujarat,2019,Waste Management,CO,0.2
Gujarat,2019,Waste Management,CO2,3.32
Gujarat,2019,Waste Management,CH4,6.03
Gujarat,2020,Energy,CO,3.02
Gujarat,2020,Energy,CO2,47.4
Gujarat,2020,Energy,CH4,2.56
Gujarat,2020,Industry,CO,1.38
Gujarat,2020,Industry,CO2,38.56
Gujarat,2020,Industry,CH4,2.31
Gujarat,2020,Transportation,CO,2.33
Gujarat,2020,Transportation,CO2,38.99
Gujarat,2020,Transportation,CH4,0.63
Gujarat,2020,Agriculture,CO,0.51
Gujarat,2020,Agriculture,CO2,11.57
Gujarat,2020,Agriculture,CH4,5.77
Gujarat,2020,Waste Management,CO,0.16
Gujarat,2020,Waste Management,CO2,2.65
Gujarat,2020,Waste Management,CH4,5.82
Gujarat,2021,Energy,CO,1.84
Gujarat,2021,Energy,CO2,51.76
Gujarat,2021,Energy,CH4,4.07
Gujarat,2021,Industry,CO,2.5
Gujarat,2021,Industry,CO2,20.25
Gujarat,2021,Industry,CH4,2.23
Gujarat,2021,Transportation,CO,1.99
Gujarat,2021,Transportation,CO2,37.33
Gujarat,2021,Transportation,CH4,0.51
Gujarat,2021,Agriculture,CO,0.29
Gujarat,2021,Agriculture,CO2,5.1
Gujarat,2021,Agriculture,CH4,10.8
Gujarat,2021,Waste Management,CO,0.29
Gujarat,2021,Waste Management,CO2,5.96
Gujarat,2021,Waste Management,CH4,9.14
Gujarat,2022,Energy,CO,2.21
Gujarat,2022,Energy,CO2,53.13
Gujarat,2022,Energy,CH4,3.32
Gujarat,2022,Industry,CO,1.28
Gujarat,2022,Industry,CO2,29.05
Gujarat,2022,Industry,CH4,2.21
Gujarat,2022,Transportation,CO,3.78
Gujarat,2022,Transportation,CO2,19.46
Gujarat,2022,Transportation,CH4,1.05
Gujarat,2022,Agriculture,CO,0.58
Gujarat,2022,Agriculture,CO2,12.5
Gujarat,2022,Agriculture,CH4,10.19
Gujarat,2022,Waste Management,CO,0.31
Gujarat,2022,Waste Management,CO2,5.61
Gujarat,2022,Waste Management,CH4,4.51
Gujarat,2023,Energy,CO,1.95
Gujarat,2023,Energy,CO2,70.4
Gujarat,2023,Energy,CH4,3.94
Gujarat,2023,Industry,CO,2.16
Gujarat,2023,Industry,CO2,58.26
Gujarat,2023,Industry,CH4,1.79
Gujarat,2023,Transportation,CO,1.54
Gujarat,2023,Transportation,CO2,22.52
Gujarat,2023,Transportation,CH4,1.25
Gujarat,2023,Agriculture,CO,0.34
Gujarat,2023,Agriculture,CO2,10.99
Gujarat,2023,Agriculture,CH4,9.45
Gujarat,2023,Waste Management,CO,0.23
Gujarat,2023,Waste Management,CO2,6.5
Gujarat,2023,Waste Management,CH4,8.76
Gujarat,2024,Energy,CO,2.71
Gujarat,2024,Energy,CO2,39.43
Gujarat,2024,Energy,CH4,4.32
Gujarat,2024,Industry,CO,1.32
Gujarat,2024,Industry,CO2,36.3
Gujarat,2024,Industry,CH4,3.57
Gujarat,2024,Transportation,CO,3.48
Gujarat,2024,Transportation,CO2,27.08
Gujarat,2024,Transportation,CH4,0.63
Gujarat,2024,Agriculture,CO,0.47
Gujarat,2024,Agriculture,CO2,5.38
Gujarat,2024,Agriculture,CH4,11.81
Gujarat,2024,Waste Management,CO,0.19
Gujarat,2024,Waste Management,CO2,6.34
Gujarat,2024,Waste Management,CH4,6.68
Haryana,2010,Energy,CO,2.96
Haryana,2010,Energy,CO2,30.93
Haryana,2010,Energy,CH4,4.06
Haryana,2010,Industry,CO,1.46
Haryana,2010,Industry,CO2,58.78
Haryana,2010,Industry,CH4,2.05
Haryana,2010,Transportation,CO,2.03
Haryana,2010,Transportation,CO2,27.31
Haryana,2010,Transportation,CH4,1.48
Haryana,2010,Agriculture,CO,0.27
Haryana,2010,Agriculture,CO2,11.76
Haryana,2010,Agriculture,CH4,8.91
Haryana,2010,Waste Management,CO,0.19
Haryana,2010,Waste Management,CO2,3.03
Haryana,2010,Waste Management,CH4,5.03
Haryana,2011,Energy,CO,2.64
Haryana,2011,Energy,CO2,40.05
Haryana,2011,Energy,CH4,4.28
Haryana,2011,Industry,CO,1.62
Haryana,2011,Industry,CO2,44.11
Haryana,2011,Industry,CH4,3.13
Haryana,2011,Transportation,CO,2.7
Haryana,2011,Transportation,CO2,31.88
Haryana,2011,Transportation,CH4,0.61
Haryana,2011,Agriculture,CO,0.38
Haryana,2011,Agriculture,CO2,13.69
Haryana,2011,Agriculture,CH4,11.92
Haryana,2011,Waste Management,CO,0.38
Haryana,2011,Waste Management,CO2,4.32
Haryana,2011,Waste Management,CH4,4.72
Haryana,2012,Energy,CO,3.0
Haryana,2012,Energy,CO2,46.4
Haryana,2012,Energy,CH4,4.49
Haryana,2012,Industry,CO,2.2
Haryana,2012,Industry,CO2,24.64
Haryana,2012,Industry,CH4,3.66
Haryana,2012,Transportation,CO,1.76
Haryana,2012,Transportation,CO2,26.66
Haryana,2012,Transportation,CH4,1.46
Haryana,2012,Agriculture,CO,0.6
Haryana,2012,Agriculture,CO2,9.0
Haryana,2012,Agriculture,CH4,11.85
Haryana,2012,Waste Management,CO,0.4
Haryana,2012,Waste Management,CO2,4.7
Haryana,2012,Waste Management,CH4,4.22
Haryana,2013,Energy,CO,2.75
Haryana,2013,Energy,CO2,30.52
Haryana,2013,Energy,CH4,4.12
Haryana,2013,Industry,CO,1.53
Haryana,2013,Industry,CO2,30.99
Haryana,2013,Industry,CH4,1.62
Haryana,2013,Transportation,CO,4.32
Haryana,2013,Transportation,CO2,17.49
Haryana,2013,Transportation,CH4,1.1
Haryana,2013,Agriculture,CO,0.56
Haryana,2013,Agriculture,CO2,12.16
Haryana,2013,Agriculture,CH4,11.6
Haryana,2013,Waste Management,CO,0.24
Haryana,2013,Waste Management,CO2,3.58
Haryana,2013,Waste Management,CH4,5.8
Haryana,2014,Energy,CO,3.65
Haryana,2014,Energy,CO2,36.16
Haryana,2014,Energy,CH4,2.79
Haryana,2014,Industry,CO,2.05
Haryana,2014,Industry,CO2,25.47
Haryana,2014,Industry,CH4,2.26
Haryana,2014,Transportation,CO,2.66
Haryana,2014,Transportation,CO2,17.65
Haryana,2014,Transportation,CH4,0.56
Haryana,2014,Agriculture,CO,0.55
Haryana,2014,Agriculture,CO2,14.82
Haryana,2014,Agriculture,CH4,6.25
Haryana,2014,Waste Management,CO,0.44
Haryana,2014,Waste Management,CO2,3.72
Haryana,2014,Waste Management,CH4,4.34
Haryana,2015,Energy,CO,2.6
Haryana,2015,Energy,CO2,28.75
Haryana,2015,Energy,CH4,3.24
Haryana,2015,Industry,CO,1.16
Haryana,2015,Industry,CO2,47.06
Haryana,2015,Industry,CH4,2.41
Haryana,2015,Transportation,CO,2.25
Haryana,2015,Transportation,CO2,16.49
Haryana,2015,Transportation,CH4,1.23
Haryana,2015,Agriculture,CO,0.31
Haryana,2015,Agriculture,CO2,5.24
Haryana,2015,Agriculture,CH4,6.74
Haryana,2015,Waste Management,CO,0.36
Haryana,2015,Waste Management,CO2,6.06
Haryana,2015,Waste Management,CH4,8.53
Haryana,2016,Energy,CO,1.6
Haryana,2016,Energy,CO2,61.34
Haryana,2016,Energy,CH4,2.15
Haryana,2016,Industry,CO,1.3
Haryana,2016,Industry,CO2,26.35
Haryana,2016,Industry,CH4,3.66
Haryana,2016,Transportation,CO,4.02
Haryana,2016,Transportation,CO2,41.74
Haryana,2016,Transportation,CH4,1.3
Haryana,2016,Agriculture,CO,0.49
Haryana,2016,Agriculture,CO2,6.19
Haryana,2016,Agriculture,CH4,7.75
Haryana,2016,Waste Management,CO,0.23
Haryana,2016,Waste Management,CO2,3.52
Haryana,2016,Waste Management,CH4,6.01
Haryana,2017,Energy,CO,2.55
Haryana,2017,Energy,CO2,28.71
Haryana,2017,Energy,CH4,3.47
Haryana,2017,Industry,CO,1.98
Haryana,2017,Industry,CO2,24.82
Haryana,2017,Industry,CH4,1.36
Haryana,2017,Transportation,CO,4.12
Haryana,2017,Transportation,CO2,39.89
Haryana,2017,Transportation,CH4,0.81
Haryana,2017,Agriculture,CO,0.59
Haryana,2017,Agriculture,CO2,14.63
Haryana,2017,Agriculture,CH4,9.08
Haryana,2017,Waste Management,CO,0.21
Haryana,2017,Waste Management,CO2,7.29
Haryana,2017,Waste Management,CH4,3.85
Haryana,2018,Energy,CO,2.86
Haryana,2018,Energy,CO2,61.77
Haryana,2018,Energy,CH4,2.99
Haryana,2018,Industry,CO,2.65
Haryana,2018,Industry,CO2,36.13
Haryana,2018,Industry,CH4,3.23
Haryana,2018,Transportation,CO,3.17
Haryana,2018,Transportation,CO2,41.26
Haryana,2018,Transportation,CH4,1.34
Haryana,2018,Agriculture,CO,0.46
Haryana,2018,Agriculture,CO2,5.03
Haryana,2018,Agriculture,CH4,8.73
Haryana,2018,Waste Management,CO,0.25
Haryana,2018,Waste Management,CO2,2.81
Haryana,2018,Waste Management,CH4,8.49
Haryana,2019,Energy,CO,3.49
Haryana,2019,Energy,CO2,64.77
Haryana,2019,Energy,CH4,2.83
Haryana,2019,Industry,CO,0.95
Haryana,2019,Industry,CO2,48.25
Haryana,2019,Industry,CH4,2.12
Haryana,2019,Transportation,CO,2.44
Haryana,2019,Transportation,CO2,37.32
Haryana,2019,Transportation,CH4,1.47
Haryana,2019,Agriculture,CO,0.74
Haryana,2019,Agriculture,CO2,7.2
Haryana,2019,Agriculture,CH4,10.38
Haryana,2019,Waste Management,CO,0.43
Haryana,2019,Waste Management,CO2,5.24
Haryana,2019,Waste Management,CH4,6.29
Haryana,2020,Energy,CO,2.52
Haryana,2020,Energy,CO2,57.55
Haryana,2020,Energy,CH4,2.89
Haryana,2020,Industry,CO,2.51
Haryana,2020,Industry,CO2,21.51
Haryana,2020,Industry,CH4,3.34
Haryana,2020,Transportation,CO,2.18
Haryana,2020,Transportation,CO2,26.28
Haryana,2020,Transportation,CH4,1.32
Haryana,2020,Agriculture,CO,0.49
Haryana,2020,Agriculture,CO2,10.02
Haryana,2020,Agriculture,CH4,10.15
Haryana,2020,Waste Management,CO,0.17
Haryana,2020,Waste Management,CO2,4.01
Haryana,2020,Waste Management,CH4,3.41
Haryana,2021,Energy,CO,2.81
Haryana,2021,Energy,CO2,33.16
Haryana,2021,Energy,CH4,2.26
Haryana,2021,Industry,CO,2.23
Haryana,2021,Industry,CO2,49.57
Haryana,2021,Industry,CH4,3.27
Haryana,2021,Transportation,CO,1.86
Haryana,2021,Transportation,CO2,26.22
Haryana,2021,Transportation,CH4,1.37
Haryana,2021,Agriculture,CO,0.45
Haryana,2021,Agriculture,CO2,13.68
Haryana,2021,Agriculture,CH4,6.5
Haryana,2021,Waste Management,CO,0.22
Haryana,2021,Waste Management,CO2,4.79
Haryana,2021,Waste Management,CH4,4.73
Haryana,2022,Energy,CO,2.54
Haryana,2022,Energy,CO2,72.75
Haryana,2022,Energy,CH4,2.07
Haryana,2022,Industry,CO,1.05
Haryana,2022,Industry,CO2,27.82
Haryana,2022,Industry,CH4,2.47
Haryana,2022,Transportation,CO,3.41
Haryana,2022,Transportation,CO2,18.24
Haryana,2022,Transportation,CH4,0.68
Haryana,2022,Agriculture,CO,0.67
Haryana,2022,Agriculture,CO2,8.31
Haryana,2022,Agriculture,CH4,6.76
Haryana,2022,Waste Management,CO,0.26
Haryana,2022,Waste Management,CO2,7.14
Haryana,2022,Waste Management,CH4,8.55
Haryana,2023,Energy,CO,3.62
Haryana,2023,Energy,CO2,59.07
Haryana,2023,Energy,CH4,2.31
Haryana,2023,Industry,CO,1.22
Haryana,2023,Industry,CO2,46.46
Haryana,2023,Industry,CH4,2.54
Haryana,2023,Transportation,CO,1.62
Haryana,2023,Transportation,CO2,26.65
Haryana,2023,Transportation,CH4,0.75
Haryana,2023,Agriculture,CO,0.4
Haryana,2023,Agriculture,CO2,11.68
Haryana,2023,Agriculture,CH4,4.56
Haryana,2023,Waste Management,CO,0.21
Haryana,2023,Waste Management,CO2,5.86
Haryana,2023,Waste Management,CH4,7.4
Haryana,2024,Energy,CO,1.42
Haryana,2024,Energy,CO2,28.07
Haryana,2024,Energy,CH4,1.51
Haryana,2024,Industry,CO,2.04
Haryana,2024,Industry,CO2,42.83
Haryana,2024,Industry,CH4,3.22
Haryana,2024,Transportation,CO,3.7
Haryana,2024,Transportation,CO2,18.82
Haryana,2024,Transportation,CH4,0.94
Haryana,2024,Agriculture,CO,0.37
Haryana,2024,Agriculture,CO2,13.97
Haryana,2024,Agriculture,CH4,10.45
Haryana,2024,Waste Management,CO,0.34
Haryana,2024,Waste Management,CO2,5.63
Haryana,2024,Waste Management,CH4,7.86
Himachal Pradesh,2010,Energy,CO,1.26
Himachal Pradesh,2010,Energy,CO2,67.14
Himachal Pradesh,2010,Energy,CH4,1.51
Himachal Pradesh,2010,Industry,CO,2.65
Himachal Pradesh,2010,Industry,CO2,50.03
Himachal Pradesh,2010,Industry,CH4,3.61
Himachal Pradesh,2010,Transportation,CO,1.99
Himachal Pradesh,2010,Transportation,CO2,31.65
Himachal Pradesh,2010,Transportation,CH4,1.37
Himachal Pradesh,2010,Agriculture,CO,0.31
Himachal Pradesh,2010,Agriculture,CO2,8.34
Himachal Pradesh,2010,Agriculture,CH4,7.74
Himachal Pradesh,2010,Waste Management,CO,0.25
Himachal Pradesh,2010,Waste Management,CO2,4.15
Himachal Pradesh,2010,Waste Management,CH4,6.05
Himachal Pradesh,2011,Energy,CO,1.33
Himachal Pradesh,2011,Energy,CO2,72.79
Himachal Pradesh,2011,Energy,CH4,2.23
Himachal Pradesh,2011,Industry,CO,1.07
Himachal Pradesh,2011,Industry,CO2,20.57
Himachal Pradesh,2011,Industry,CH4,3.39
Himachal Pradesh,2011,Transportation,CO,1.95
Himachal Pradesh,2011,Transportation,CO2,26.59
Himachal Pradesh,2011,Transportation,CH4,0.95
Himachal Pradesh,2011,Agriculture,CO,0.71
Himachal Pradesh,2011,Agriculture,CO2,13.77
Himachal Pradesh,2011,Agriculture,CH4,11.77
Himachal Pradesh,2011,Waste Management,CO,0.34
Himachal Pradesh,2011,Waste Management,CO2,3.29
Himachal Pradesh,2011,Waste Management,CH4,6.0
Himachal Pradesh,2012,Energy,CO,2.96
Himachal Pradesh,2012,Energy,CO2,45.78
Himachal Pradesh,2012,Energy,CH4,4.07
Himachal Pradesh,2012,Industry,CO,1.92
Himachal Pradesh,2012,Industry,CO2,56.51
Himachal Pradesh,2012,Industry,CH4,3.54
Himachal Pradesh,2012,Transportation,CO,1.69
Himachal Pradesh,2012,Transportation,CO2,43.91
Himachal Pradesh,2012,Transportation,CH4,0.92
Himachal Pradesh,2012,Agriculture,CO,0.52
Himachal Pradesh,2012,Agriculture,CO2,6.51
Himachal Pradesh,2012,Agriculture,CH4,9.76
Himachal Pradesh,2012,Waste Management,CO,0.44
Himachal Pradesh,2012,Waste Management,CO2,6.58
Himachal Pradesh,2012,Waste Management,CH4,9.69
Himachal Pradesh,2013,Energy,CO,2.07
Himachal Pradesh,2013,Energy,CO2,72.52
Himachal Pradesh,2013,Energy,CH4,2.64
Himachal Pradesh,2013,Industry,CO,2.44
Himachal Pradesh,2013,Industry,CO2,35.98
Himachal Pradesh,2013,Industry,CH4,2.68
Himachal Pradesh,2013,Transportation,CO,3.74
Himachal Pradesh,2013,Transportation,CO2,26.78
Himachal Pradesh,2013,Transportation,CH4,0.73
Himachal Pradesh,2013,Agriculture,CO,0.72
Himachal Pradesh,2013,Agriculture,CO2,11.38
Himachal Pradesh,2013,Agriculture,CH4,9.4
Himachal Pradesh,2013,Waste Management,CO,0.23
Himachal Pradesh,2013,Waste Management,CO2,5.87
Himachal Pradesh,2013,Waste Management,CH4,9.68
Himachal Pradesh,2014,Energy,CO,2.72
Himachal Pradesh,2014,Energy,CO2,50.75
Himachal Pradesh,2014,Energy,CH4,1.85
Himachal Pradesh,2014,Industry,CO,2.08
Himachal Pradesh,2014,Industry,CO2,27.77
Himachal Pradesh,2014,Industry,CH4,2.23
Himachal Pradesh,2014,Transportation,CO,4.29
Himachal Pradesh,2014,Transportation,CO2,23.67
Himachal Pradesh,2014,Transportation,CH4,0.62
Himachal Pradesh,2014,Agriculture,CO,0.38
Himachal Pradesh,2014,Agriculture,CO2,6.51
Himachal Pradesh,2014,Agriculture,CH4,5.84
Himachal Pradesh,2014,Waste Management,CO,0.21
Himachal Pradesh,2014,Waste Management,CO2,3.32
Himachal Pradesh,2014,Waste Management,CH4,4.1
Himachal Pradesh,2015,Energy,CO,1.43
Himachal Pradesh,2015,Energy,CO2,71.77
Himachal Pradesh,2015,Energy,CH4,2.54
Himachal Pradesh,2015,Industry,CO,2.28
Himachal Pradesh,2015,Industry,CO2,35.23
Himachal Pradesh,2015,Industry,CH4,2.77
Himachal Pradesh,2015,Transportation,CO,3.51
Himachal Pradesh,2015,Transportation,CO2,24.29
Himachal Pradesh,2015,Transportation,CH4,0.75
Himachal Pradesh,2015,Agriculture,CO,0.55
Himachal Pradesh,2015,Agriculture,CO2,8.63
Himachal Pradesh,2015,Agriculture,CH4,5.78
Himachal Pradesh,2015,Waste Management,CO,0.17
Himachal Pradesh,2015,Waste Management,CO2,3.49
Himachal Pradesh,2015,Waste Management,CH4,8.72
Himachal Pradesh,2016,Energy,CO,2.85
Himachal Pradesh,2016,Energy,CO2,33.72
Himachal Pradesh,2016,Energy,CH4,2.83
Himachal Pradesh,2016,Industry,CO,1.64
Himachal Pradesh,2016,Industry,CO2,26.72
Himachal Pradesh,2016,Industry,CH4,2.35
Himachal Pradesh,2016,Transportation,CO,3.34
Himachal Pradesh,2016,Transportation,CO2,24.76
Himachal Pradesh,2016,Transportation,CH4,1.22
Himachal Pradesh,2016,Agriculture,CO,0.47
Himachal Pradesh,2016,Agriculture,CO2,9.3
Himachal Pradesh,2016,Agriculture,CH4,10.72
Himachal Pradesh,2016,Waste Management,CO,0.25
Himachal Pradesh,2016,Waste Management,CO2,4.82
Himachal Pradesh,2016,Waste Management,CH4,7.66
Himachal Pradesh,2017,Energy,CO,2.38
Himachal Pradesh,2017,Energy,CO2,42.92
Himachal Pradesh,2017,Energy,CH4,4.25
Himachal Pradesh,2017,Industry,CO,1.89
Himachal Pradesh,2017,Industry,CO2,33.54
Himachal Pradesh,2017,Industry,CH4,2.71
Himachal Pradesh,2017,Transportation,CO,2.89
Himachal Pradesh,2017,Transportation,CO2,43.31
Himachal Pradesh,2017,Transportation,CH4,1.4
Himachal Pradesh,2017,Agriculture,CO,0.27
Himachal Pradesh,2017,Agriculture,CO2,13.47
Himachal Pradesh,2017,Agriculture,CH4,9.69
Himachal Pradesh,2017,Waste Management,CO,0.22
Himachal Pradesh,2017,Waste Management,CO2,4.58
Himachal Pradesh,2017,Waste Management,CH4,8.75
Himachal Pradesh,2018,Energy,CO,2.39
Himachal Pradesh,2018,Energy,CO2,27.18
Himachal Pradesh,2018,Energy,CH4,3.17
Himachal Pradesh,2018,Industry,CO,1.37
Himachal Pradesh,2018,Industry,CO2,28.15
Himachal Pradesh,2018,Industry,CH4,2.96
Himachal Pradesh,2018,Transportation,CO,4.38
Himachal Pradesh,2018,Transportation,CO2,34.8
Himachal Pradesh,2018,Transportation,CH4,1.28
Himachal Pradesh,2018,Agriculture,CO,0.39
Himachal Pradesh,2018,Agriculture,CO2,5.96
Himachal Pradesh,2018,Agriculture,CH4,11.97
Himachal Pradesh,2018,Waste Management,CO,0.22
Himachal Pradesh,2018,Waste Management,CO2,7.24
Himachal Pradesh,2018,Waste Management,CH4,7.63
Himachal Pradesh,2019,Energy,CO,3.52
Himachal Pradesh,2019,Energy,CO2,41.49
Himachal Pradesh,2019,Energy,CH4,3.06
Himachal Pradesh,2019,Industry,CO,2.66
Himachal Pradesh,2019,Industry,CO2,40.24
Himachal Pradesh,2019,Industry,CH4,1.37
Himachal Pradesh,2019,Transportation,CO,3.31
Himachal Pradesh,2019,Transportation,CO2,22.31
Himachal Pradesh,2019,Transportation,CH4,0.68
Himachal Pradesh,2019,Agriculture,CO,0.53
Himachal Pradesh,2019,Agriculture,CO2,13.56
Himachal Pradesh,2019,Agriculture,CH4,10.87
Himachal Pradesh,2019,Waste Management,CO,0.3
Himachal Pradesh,2019,Waste Management,CO2,3.23
Himachal Pradesh,2019,Waste Management,CH4,5.01
Himachal Pradesh,2020,Energy,CO,2.63
Himachal Pradesh,2020,Energy,CO2,39.69
Himachal Pradesh,2020,Energy,CH4,3.25
Himachal Pradesh,2020,Industry,CO,1.61
Himachal Pradesh,2020,Industry,CO2,27.15
Himachal Pradesh,2020,Industry,CH4,2.41
Himachal Pradesh,2020,Transportation,CO,2.51
Himachal Pradesh,2020,Transportation,CO2,44.16
Himachal Pradesh,2020,Transportation,CH4,1.22
Himachal Pradesh,2020,Agriculture,CO,0.62
Himachal Pradesh,2020,Agriculture,CO2,5.87
Himachal Pradesh,2020,Agriculture,CH4,5.32
Himachal Pradesh,2020,Waste Management,CO,0.18
Himachal Pradesh,2020,Waste Management,CO2,3.04
Himachal Pradesh,2020,Waste Management,CH4,9.01
Himachal Pradesh,2021,Energy,CO,1.87
Himachal Pradesh,2021,Energy,CO2,45.68
Himachal Pradesh,2021,Energy,CH4,1.98
Himachal Pradesh,2021,Industry,CO,2.67
Himachal Pradesh,2021,Industry,CO2,47.87
Himachal Pradesh,2021,Industry,CH4,3.07
Himachal Pradesh,2021,Transportation,CO,3.26
Himachal Pradesh,2021,Transportation,CO2,31.63
Himachal Pradesh,2021,Transportation,CH4,0.85
Himachal Pradesh,2021,Agriculture,CO,0.73
Himachal Pradesh,2021,Agriculture,CO2,13.01
Himachal Pradesh,2021,Agriculture,CH4,10.91
Himachal Pradesh,2021,Waste Management,CO,0.24
Himachal Pradesh,2021,Waste Management,CO2,4.1
Himachal Pradesh,2021,Waste Management,CH4,6.15
Himachal Pradesh,2022,Energy,CO,3.65
Himachal Pradesh,2022,Energy,CO2,25.76
Himachal Pradesh,2022,Energy,CH4,3.77
Himachal Pradesh,2022,Industry,CO,1.26
Himachal Pradesh,2022,Industry,CO2,52.27
Himachal Pradesh,2022,Industry,CH4,2.86
Himachal Pradesh,2022,Transportation,CO,4.21
Himachal Pradesh,2022,Transportation,CO2,25.59
Himachal Pradesh,2022,Transportation,CH4,0.95
Himachal Pradesh,2022,Agriculture,CO,0.49
Himachal Pradesh,2022,Agriculture,CO2,7.35
Himachal Pradesh,2022,Agriculture,CH4,9.6
Himachal Pradesh,2022,Waste Management,CO,0.26
Himachal Pradesh,2022,Waste Management,CO2,5.9
Himachal Pradesh,2022,Waste Management,CH4,9.63
Himachal Pradesh,2023,Energy,CO,3.17
Himachal Pradesh,2023,Energy,CO2,26.69
Himachal Pradesh,2023,Energy,CH4,2.79
Himachal Pradesh,2023,Industry,CO,1.6
Himachal Pradesh,2023,Industry,CO2,37.5
Himachal Pradesh,2023,Industry,CH4,2.4
Himachal Pradesh,2023,Transportation,CO,3.69
Himachal Pradesh,2023,Transportation,CO2,31.52
Himachal Pradesh,2023,Transportation,CH4,1.45
Himachal Pradesh,2023,Agriculture,CO,0.58
Himachal Pradesh,2023,Agriculture,CO2,5.65
Himachal Pradesh,2023,Agriculture,CH4,4.63
Himachal Pradesh,2023,Waste Management,CO,0.4
Himachal Pradesh,2023,Waste Management,CO2,3.97
Himachal Pradesh,2023,Waste Management,CH4,7.62
Himachal Pradesh,2024,Energy,CO,3.6
Himachal Pradesh,2024,Energy,CO2,70.87
Himachal Pradesh,2024,Energy,CH4,1.61
Himachal Pradesh,2024,Industry,CO,1.46
Himachal Pradesh,2024,Industry,CO2,20.15
Himachal Pradesh,2024,Industry,CH4,3.23
Himachal Pradesh,2024,Transportation,CO,4.01
Himachal Pradesh,2024,Transportation,CO2,43.94
Himachal Pradesh,2024,Transportation,CH4,0.85
Himachal Pradesh,2024,Agriculture,CO,0.54
Himachal Pradesh,2024,Agriculture,CO2,10.0
Himachal Pradesh,2024,Agriculture,CH4,9.29
Himachal Pradesh,2024,Waste Management,CO,0.28
Himachal Pradesh,2024,Waste Management,CO2,3.43
Himachal Pradesh,2024,Waste Management,CH4,6.17
Jharkhand,2010,Energy,CO,2.78
Jharkhand,2010,Energy,CO2,55.18
Jharkhand,2010,Energy,CH4,3.33
Jharkhand,2010,Industry,CO,1.92
Jharkhand,2010,Industry,CO2,21.66
Jharkhand,2010,Industry,CH4,3.6
Jharkhand,2010,Transportation,CO,4.11
Jharkhand,2010,Transportation,CO2,29.34
Jharkhand,2010,Transportation,CH4,0.84
Jharkhand,2010,Agriculture,CO,0.37
Jharkhand,2010,Agriculture,CO2,5.12
Jharkhand,2010,Agriculture,CH4,5.47
Jharkhand,2010,Waste Management,CO,0.3
Jharkhand,2010,Waste Management,CO2,4.43
Jharkhand,2010,Waste Management,CH4,6.77
Jharkhand,2011,Energy,CO,2.02
Jharkhand,2011,Energy,CO2,62.06
Jharkhand,2011,Energy,CH4,4.2
Jharkhand,2011,Industry,CO,1.18
Jharkhand,2011,Industry,CO2,42.63
Jharkhand,2011,Industry,CH4,1.42
Jharkhand,2011,Transportation,CO,2.52
Jharkhand,2011,Transportation,CO2,30.35
Jharkhand,2011,Transportation,CH4,0.77
Jharkhand,2011,Agriculture,CO,0.63
Jharkhand,2011,Agriculture,CO2,9.67
Jharkhand,2011,Agriculture,CH4,10.03
Jharkhand,2011,Waste Management,CO,0.37
Jharkhand,2011,Waste Management,CO2,6.57
Jharkhand,2011,Waste Management,CH4,3.62
Jharkhand,2012,Energy,CO,1.59
Jharkhand,2012,Energy,CO2,66.32
Jharkhand,2012,Energy,CH4,1.62
Jharkhand,2012,Industry,CO,1.26
Jharkhand,2012,Industry,CO2,46.49
Jharkhand,2012,Industry,CH4,1.38
Jharkhand,2012,Transportation,CO,2.26
Jharkhand,2012,Transportation,CO2,43.54
Jharkhand,2012,Transportation,CH4,0.77
Jharkhand,2012,Agriculture,CO,0.27
Jharkhand,2012,Agriculture,CO2,14.51
Jharkhand,2012,Agriculture,CH4,8.43
Jharkhand,2012,Waste Management,CO,0.25
Jharkhand,2012,Waste Management,CO2,6.32
Jharkhand,2012,Waste Management,CH4,6.41
Jharkhand,2013,Energy,CO,2.87
Jharkhand,2013,Energy,CO2,57.47
Jharkhand,2013,Energy,CH4,2.89
Jharkhand,2013,Industry,CO,1.2
Jharkhand,2013,Industry,CO2,35.43
Jharkhand,2013,Industry,CH4,2.25
Jharkhand,2013,Transportation,CO,2.4
Jharkhand,2013,Transportation,CO2,35.82
Jharkhand,2013,Transportation,CH4,1.22
Jharkhand,2013,Agriculture,CO,0.75
Jharkhand,2013,Agriculture,CO2,8.04
Jharkhand,2013,Agriculture,CH4,5.7
Jharkhand,2013,Waste Management,CO,0.19
Jharkhand,2013,Waste Management,CO2,7.35
Jharkhand,2013,Waste Management,CH4,4.58
